row_no,award_id,oi_name,host_organization,grant_title,grant_description,recipient,award_supercat,award_cat
52,nih_________::15debac65dfabdeeb243366dda02d85f,"[""Dryad""]","[""Dryad (independent 501(c)3)""]",Dryad and the Generalist Repository Ecosystem Initiative (GREI),,[DRYAD],DIRECT,OTHER
53,helmsley:grants::617,"[""rOpenSci""]","[""NumFocus""]",,rOpenSci:  Fostering the next generation of sustainable software and reproducible research practices in the scientific community,"Regents of University of California, Berkeley",UNKNOWN,UNKNOWN
54,imls:log_number::LG-70-16-0076-16,"[""Fedora""]","[""Lyrasis""]",,"The Sheridan Libraries at Johns Hopkins University will develop a service proxy layer on top of the Fedora 4 software platform that will facilitate the exposure of repository contents as linked data web resources. There is an existing user base of Fedora software for institutional repositories that will grow given the important enhancements and robustness offered by Fedora 4. By providing architecture to deploy repository services as lightweight extensions, institutions that use Fedora 4 for their institutional repository needs would be automatically positioned to extend their platforms for more robust data management. As federal funding agencies respond to the White OSTP memoranda regarding public access to publications and data, it is becoming clear that simply depositing and subsequently downloading data will not be sufficient. The proposed work supports a vision of data management where data are packaged with information graphs that capture and preserve connections to publications and software.",Johns Hopkins University,ADJACENT,ADJACENT
55,imls:log_number::LG-05-09-0197-09,"[""Omeka""]","[""Corporation for Digital Scholarship""]",,"The libraries of George Washington University and Georgetown University will digitize their jointly held collections of Western literature on the Middle East and works by Middle East and North African authors comprising more than 2,500 volumes. The collections will be freely accessible to scholars and the general public worldwide. As part of the digitization process, the project team will test and evaluate the performance of a Kirtas 2400 book scanner and assess its capacity to produce high-quality/high-volume digital scans of bound volumes. Both libraries will produce enriched metadata records necessary for discovery, access, and long-term management and preservation of the digital content created, using robust metadata standards. Virtual and physical exhibits highlighting the collection will be produced. The physical exhibit will open at the Gelman Library and travel to selected libraries and/or museums around the world. A virtual exhibit will be hosted on the IMLS-funded Omeka virtual exhibit platform (http://omeka.org/).",George Washington University (Gelman Library System),ADJACENT,ADJACENT
56,1151022,"[""Dryad""]","[""Dryad (independent 501(c)3)""]",CAREER: Identifying controls on size evolution through comparative analysis,"CAREER: Identifying controls on size evolution through comparative analysis&lt;br/&gt;Jonathan L. Payne, Department of Geological and Environmental Sciences, Stanford University&lt;br/&gt;EAR-1151022&lt;br/&gt;&lt;br/&gt;ABSTRACT&lt;br/&gt;Size and function are inseparable in biology because a wide variety of physiological and life-history traits scale with size. Patterns of size evolution can therefore complement taxonomic diversity and geochemical proxy data by providing quantitative constraints on the influence of ecological interactions and environmental change on major events in the history of life, from the origin of eukaryotes to the Cambrian explosion, the early Paleozoic radiation of marine animals, the Cenozoic rise of mammals, the circumstances of mass extinctions and subsequent recoveries, responses to climate change, and potential influences of sampling bias on taxonomic diversity. &lt;br/&gt;One of the most intriguing observations in the study of size evolution is that patterns of change are often shared across distantly related taxa during intervals of taxonomic radiation, mass extinction, and global environmental change. Just as comprehensive, global compilation of stratigraphic ranges has enabled vast advances in our understanding of biodiversity dynamics, an analogous compilation of body sizes spanning the Phanerozic is critical for identifying controls on the evolution of this key functional trait. &lt;br/&gt;The goal of this study is to determine if and when evolutionary dynamics have been shared across major clades through the Phanerozoic and thereby identify the factors that shape the evolution of organism size.  To accomplish this goal, PI will compile comprehensive, genus-level size datasets for foraminifera, brachiopods, and gastropods.  These groups comprise more than 25% of the genus diversity in the marine fossil record but differ in basic anatomy, physiology, and ecology.  By identifying the best model for size evolution within each clade, determining whether or not the mode of size evolution has shifted during the Phanerozoic, and testing whether evolutionary dynamics are shared across these groups, PI will determine whether there are universal ecological or environmental controls on size evolution or if, instead, the dynamics of size evolution vary among groups as a function of ecological and physiological properties or change through geological time as a function of biological or environmental circumstances.&lt;br/&gt;This study will provide the foundation for PI's long-term education and outreach program.  Participation in the collection and analysis of body size data requires relatively little technical training or access to expensive instruments or facilities.  Consequently, it offers an ideal opportunity to involve students at all levels directly in data collection and analysis, both in the classroom and as part of intensive summer research programs.  Each summer, six high school students and one high school teacher will assist undergraduates and the graduate student in data collection and preliminary analyses.  The high school teacher will continue data collection and analysis during the academic year at Yerba Buena High School, a school that serves a majority population of economically disadvantaged families and underrepresented groups in STEM fields.  The graduate student will visit the class on a biweekly basis to supervise data collection and analysis, and the class will visit Stanford each spring as a capstone experience.  The PI will develop a new freshman seminar class with exercises based on data from this project.  Project success will be evaluated using surveys to assess student attitudes toward STEM fields and future plans before and after participation in the project, as well as long-term tracking of students' educational histories in future years.&lt;br/&gt;Data collected from this project will be archived as stand-alone datasets at Dryad, but will also be entered into the Paleobiology Database, an open-access, community-wide compilation of fossil occurrence data.  Size data are integral to analyses of evolutionary dynamics and the fidelity of the fossil record.  Because the data produced in this study will cover a significant fraction of known marine genera, they are likely to be used broadly by the community in studies unrelated to the proposed project.",Stanford University,ADJACENT,ADJACENT
57,,"[""DSpace""]","[""Lyrasis""]",DSpace Federation,to support the implementation of a digital repository system at several research institutions,MIT,ADOPT,ADOPT
58,2303690,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",POSE: Phase II:  Open-Source Ecosystem to enable Open Scholarship,"Open science, also called open research or open scholarship, is a movement that advances the free and open sharing of research. The goal of open science is to make the research process open for review by everyone with the goal of improving the quality of scientific results and usefulness of scientific discoveries. Tools are needed to encourage and support researchers to work together, share data and analyses, and discover and reuse research. The Center for Open Science (COS) has built and maintains the Open Science Framework (OSF), which is a free, open-source platform that provides these tools.  Researchers use this platform to manage and conduct their research while following open science practices. The involvement of research communities in the co-development of the tools that support them in practicing open science is important to secure robust and long-standing scientific knowledge.&lt;br/&gt; &lt;br/&gt;This NSF POSE Phase II award creates a distributed Open Source Ecosystem (OSE) around the OSF: the Open Scholarship OSE. This project permits the expansion of community-driven open scholarship by (1) creating a governance structure that guides the trajectory of the Open Scholarship OSE by developing a community of user-contributors to the ecosystem, (2) connecting new digital storage locations, tools, and other services, expanding the range of applications of and disciplines using the OSF, and (3) developing improved workflows that enable open scholarship across a wider range of research goals, methods, processes, and outputs. The Open Scholarship OSE develops communication pathways for researchers to become part of the development process and to implement open scholarship practices while making the barriers to participation as low as possible.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Center for Open Science,DIRECT,RESEARCH & DEVELOPMENT
59,imls:log_number::LG-246264-OLS-20,"[""Fedora""]","[""Lyrasis""]",,"The DuraSpace Community Supported Programs at LYRASIS will develop, pilot, and document migration tools and paths to upgrade the repository software Fedora 3, which is widely used but no longer supported, to Fedora 6. Hundreds of U.S. libraries and archives use Fedora 3 repository software to preserve and deliver scholarly, scientific, and cultural heritage resources and services to patrons, often including unique digital content. Continued community reliance on Fedora 3 puts the stability, security, accessibility, and functionality of these repositories at risk. The community identified migration tools and documentation during a planning project as important resources to support Fedora 3 upgrade and migration processes, which are necessary to sustain repositories that provide critical access to digital collections. Pilot migrations will be conducted and documented for two Fedora 3 repositories; a toolkit then will be shared through training programs to support broad community adoption.",LYRASIS Inc.,DIRECT,RESEARCH & DEVELOPMENT
60,R24AG048124,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",,"COMMUNITY DEVELOPING AND SUPPORTING PRACTICES TO INCREASE REPLICABILITY OF SCIENTIFIC RESEARCH - PROJECT SUMMARY/ABSTRACT CENTER FOR OPEN SCIENCE RFA-AG-19-015  THE CENTER FOR OPEN SCIENCE (COS) WILL SOON COMPLETE OUR NIH-SUPPORTED GRANT TO ESTABLISH REPRODUCIBILITY NETWORKS TO ADVANCE OPEN PRACTICES (PHASE 1). IN PHASE 1 COS ENGAGED RESEARCH STAKEHOLDER NETWORKS TO ESTABLISH AND MARKET THREE PRODUCTS TO ACCELERATE REPRODUCIBILITY IN THE SOCIAL AND BEHAVIORAL SCIENCES: (1) BADGES TO ACKNOWLEDGE OPEN PRACTICES (KIDWELL ET AL., 2016), (2) TRANSPARENCY AND OPENNESS PROMOTION (TOP) GUIDELINES AS A POLICY FRAMEWORK (NOSEK ET AL., 2015), AND (3) REGISTERED REPORTS, A PUBLISHING MODEL IN WHICH INITIAL PEER REVIEW IS CONDUCTED PRIOR TO OBSERVING THE RESEARCH OUTCOMES (NOSEK & LAKENS, 2014). ALL THREE HAVE CONTRIBUTED TO SUBSTANTIAL PROGRESS IN AWARENESS AND CHANGES IN POLICIES, INCENTIVES, AND NORMS PROMOTING OPEN PRACTICES.  WITH A 5-YEAR GRANT RENEWAL (PHASE 2), COS WILL EXTEND THE IMPACT OF PHASE 1 NETWORKS AND ACTIVATE NEW RESEARCH COMMUNITIES TO TEST, IMPLEMENT, EVALUATE, AND IMPROVE STANDARDS AND WORKFLOWS TO INCREASE OPENNESS AND REPRODUCIBILITY OF RESEARCH, REMOVE BARRIERS TO BEHAVIOR CHANGE, AND FACILITATE WIDESPREAD ADOPTION OF BEHAVIORS SUCH AS PREREGISTRATION, AND OPEN DATA, MATERIALS AND CODE. COS WILL DEEPEN THE LEVEL OF ENGAGEMENT AMONG THE NETWORKS WE FOSTERED IN PHASE 1 AND ADD NEW RESEARCH NETWORKS SUCH AS THE MAX PLANCK INSTITUTE FOR HUMAN DEVELOPMENT, THE HEALTH RESEARCH ALLIANCE AND THE INTERNATIONAL MAX PLANCK RESEARCH SCHOOL ON THE LIFE COURSE, TO TEST, IMPLEMENT, EVALUATE, AND IMPROVE THE STANDARDS AND SUPPORTING WORKFLOWS NEEDED TO ENACT OPEN SCIENCE BEHAVIORS. IN PARTICULAR, WE WILL ACCELERATE ADOPTION OF PREREGISTRATION AND THE SHARING OF DATA, MATERIALS, AND CODE BY ENGAGING THESE RESEARCH COMMUNITIES IN AN ITERATIVE FEEDBACK AND EVALUATION CYCLE TO IMPROVE THE POLICIES AND WORKFLOWS. WHILE PREREGISTRATION IS RELATIVELY EASY TO APPLY TO EXPERIMENTAL RESEARCH IN WHICH THE DATA DOES NOT YET EXIST (E.G., RANDOMIZED TRIALS), PREREGISTRATION WORKFLOWS HAVE YET TO BE CREATED OR TESTED TO IMPROVE THE RIGOR OF OBSERVATIONAL (CORRELATIONAL) RESEARCH, LONGITUDINAL STUDIES, QUALITATIVE RESEARCH, AND WORKING WITH EXISTING DATASETS. THESE SCENARIOS ARE COMMON ACROSS A VARIETY OF DISCIPLINES, PARTICULARLY AGING RESEARCH. AND YET, TRANSLATING THE STANDARDS AND WORKFLOWS TO SUPPORT PREREGISTRATION IN SUCH CIRCUMSTANCES REQUIRES ATTENTION TO THE DETAILS OF THE METHODOLOGY, DATA, AND ANALYSIS PIPELINE (NOSEK ET AL., 2018). COS MAINTAINS OPEN-SOURCE INFRASTRUCTURE, CALLED OSF (HTTP://OSF.IO/), THAT FACILITATES CUSTOMIZATION OF STUDY REGISTRATION WORKFLOWS AND SUBMISSION OF DATA, MATERIALS, AND CODE FOR OPEN OR CONTROLLED SHARING BASED ON THE NEEDS OF PARTICULAR DISCIPLINES OR METHODOLOGIES. ULTIMATELY, OUR EFFORTS TO ORGANIZE DESIGN, TEST, AND EVALUATE CUSTOMIZED SOLUTIONS WITH THE RESEARCH COMMUNITIES THAT CONTRIBUTE TO AGING RESEARCH (E.G., PSYCHOLOGY, NEUROSCIENCE, SOCIOLOGY, POLITICAL SCIENCE, AND EPIDEMIOLOGY) WILL RESULT IN WIDESPREAD ADOPTION OF OPEN SCIENCE BEHAVIORS.","[CENTER FOR OPEN SCIENCE, INC.]",DIRECT,RESEARCH & DEVELOPMENT
61,,"[""arXiv""]","[""Cornell University""]",,arXiv operating grant,Cornell University,DIRECT,OPERATIONS
62,,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",,To provide general operating support.,Center for Open Science,DIRECT,OPERATIONS
63,,"[""Open Journal Systems (OJS)""]","[""Simon Fraser University""]",,"For ""Extending the Global Knowledge Exchange: Technological Change and the Research Capacities of Developing Nations.""",UBC-RS,ADJACENT,ADJACENT
64,1032732,"[""Integrated Rule-Oriented Data Systems (IRODS)""]","[""Renaissance Computing Institute (RENCI), University of North Carolina at Chapel Hill""]",SDCI Data Improvement: Improvement and Sustainability of iRODS Data Grid Software for Multi-Disciplinary Community Driven Application,"The integrated Rule Oriented Data System (iRODS) software is used in production systems on an international scale, supporting interdisciplinary research projects in seismology, oceanography, astronomy, plant biology, climate change, cognitive science, social sciences, psycholinguistics, and high-energy physics. The iRODS data grid supports collections at scale, from small 200 Gigabyte social science collections, to multi-petabyte collections of observational data.&lt;br/&gt;&lt;br/&gt;This will fund the development of the iRODS infrastructure to incorporate new capabilities to meet the requirements by each user community, to support interoperability with domain specific technologies such as support for an extended metadata system, advanced data transport protocols, unification of authentication environments, user-selected access mechanisms, data analytic micro-services, and real-time data streams.  This will also fund continued consulting support for installation and customization of the software, incorporation of new features developed by an international group of collaborators, and presentation of tutorials and workshops on applications of iRODS. We will develop rulekits that encapsulate standard policy and procedure sets to simplify use by new communities. We will collaborate with the University of Wisconsin on security appraisals to minimize vulnerabilities, and collaborate with the Renaissance Computing Institute on integration with cloud computing systems. We will explore research initiatives related to database federation and workflow integration to meet specific requirements of the user communities.&lt;br/&gt;&lt;br/&gt;We will develop the mechanisms (improved user interfaces, documentation, and rulekits) that will enable use of the iRODS data grid at scale with thousands to millions of users. We will support the application of the iRODS infrastructure to NSF research initiatives with the explicit goal of enabling use of shared collections within institutional repositories for education initiatives. Since the policies used within iRODS to control collections can be tuned to meet specific community goals, iRODS can be used to integrate institutional repositories with NSF national research initiatives. iRODS can also link personal laptops into national collaborations, enabling policy-controlled participation by students in research initiatives. Through creation of standard rulekits, we will enable creation of reference collections within research projects, within institutional repositories, within national research projects, and within international collaborations.",University of North Carolina at Chapel Hill,DIRECT,RESEARCH & DEVELOPMENT
65,anr_________::811ee1f76e2c1270ffffa115319276e6,"[""Crossref""]","[""Crossref (operated by Publishers International Linking Association)""]",Matilda: a bibliographic &amp; bibliometric tool for open science,"Our project to develop a bibliographic/metric tool for open science aims at changing the situation of reference/citation data as the poor relation of open science, with two main objectives. First, even if we take part in the emerging movement in favour of ""open citations"", we do not want simply to unblock existing closed information, but to give a fair place to academic content excluded from the proprietary tools currently used, WoS and Scopus, by adopting a principle of equal treatment of all scientific texts and their metadata. Indeed, the literature has shown that the principle of scarcity was at the heart of bibliometrics and the disciplinary and linguistic biases of basic producers have led to a massive invisibility of part of the scientific literature, with current commercial bases creating a ""bubble filter"". Secondly, we want to give academics and researchers as much control as possible over how they search for textual information and metadata, because we consider that the closed design of current tools encapsulates an objective view of research processes rather than relying on technologies co-constructed by their users. While extremely little work has been published on the use of bibliometric tools, we assume that users' needs are varied, but that, in addition, the singular nature of scientific texts must be taken into account, by encouraging users to prioritize and recommend articles. To do this, after the development of a proof of concept in progress, with the support of the CNRS by a fixed-term contract, we will build a first functional version of Matilda's IT architecture on the basis of pre-selected corpuses (ArXiv, PubMed, CrossRef, RePEc), enrich and expose all legally shareable data. From this public interface, we will recruit user researchers in order to obtain as much information as possible on the concrete uses of this type of tool and to experiment with new functionalities and services (citation tracking methods, alerts, recommendations, etc.). For these users we will open an account dedicated to their name, and a CNIL procedure, similar to the one developed for the ISIDORE engine, will allow them to obtain their agreement for the collection of information from different tools (usage traces, questionnaires and in-depth interviews). By combining the unique skills of a Huma-Num team in designing research tools with the expertise of a team from the Centre de sociologie de l'innovation in studying science and the role of users in technological devices, Matilda aims to redefine what a bibliographic/metric tool is by taking full advantage of the current and future openness of metadata. This project is therefore at the heart of the ANR's ""Open Data"" call for tenders, taking into account the public policy provisions on open citations (national open science plan, plan S). By developing a tool for the common, based on the metadata of scientific texts, and in particular their reference/citation data, we want to make these open citations useful to all scientific communities, in particular by making citation tracking fully available as a method of intertextual circulation.","[HumanitÃ©s NumÃ©riques,Institut Interdisciplinaire de lInnovation,Institut Interdisciplinaire de l'Innovation]",ADJACENT,ADJACENT
66,,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",,To provide general operating support.,Center for Open Science,DIRECT,OPERATIONS
67,1500509,"[""arXiv""]","[""Cornell University""]",Applications of Harmonic Analysis to Function Theory and Operator Theory,"This research project will conduct a study of fundamental questions in function theory and operator theory using the tools and techniques of harmonic analysis.   The project will address important questions now open to exploration because of recent advances made by the principal investigator and his collaborators.  Resolution of these problems raised will find applications in function theoretic operator theory and yield new tools and techniques that can be adopted by the larger analysis community.  The principal investigator will advise graduate students and postdoctoral fellows, include them in the proposed research projects, and provide mentoring, in order to assist them in transitioning to the next stage of their careers.  Broad dissemination of the results will take place by participation in conferences and posting of the research to the arxiv preprint server.&lt;br/&gt;&lt;br/&gt;This project will combine recent results of the principal investigator with motivation from function theory and operator theory to study questions related to the two-weight Hilbert transform and properties of model spaces.  The first research direction to be explored couples the results of the principal investigator with questions about boundedness and invertibility properties of products of Toeplitz operators.  In particular, the problems to be studied are aimed at obtaining a better understanding of the composition of paraproducts and determining necessary and sufficient conditions for their boundedness.  Connections to the two-weight inequality for the Hilbert transform suggest related problems to investigate.  Resolving the proposed problems will provide more insight into the recent characterization of the two-weight inequality for the Hilbert transform and related properties for Toeplitz operators on the Hardy space.  An additional research direction, based upon the principal investigator's recent results and their connection to the description of the Carleson measure for model spaces, will be pursued.  The open question of obtaining a characterization of the Riesz bases for model spaces leads to problems related to reverse Carleson measures for the model spaces, and their relation to two-weight inequalities for the Cauchy and Hilbert transforms.  Additional directions of investigation connect to bilinear forms and commutators on model spaces.",Georgia Tech Research Corporation,ADJACENT,ADJACENT
68,nih_________::cac18b03f89531238397e70870cace66,"[""Dryad""]","[""Dryad (independent 501(c)3)""]",Dryad and the Generalist Repository Ecosystem Initiative (GREI),,[DRYAD],DIRECT,OTHER
69,corda__h2020::9b9d7e5cfa8566b5169b570a46cfcfac,"[""Europe PMC""]","[""EMBL-EBI (European Molecular Biology Laboratory)""]",Extracting funding statements from full text research articles in the life sciences,"In support of the ERC open access strategy, it is critical for the ERC to identify published scientific articles that have been based on its funding schemes, in order to assess the impact of the research supported. Currently, the relationship between funding source and article is made only sporadically, years later in end-of-grant reports, or lost altogether, as there is no structured method for recording these associations. 

Ideally, the funding source should be identified as part of journal manuscript submission processes, however, this idea is currently in its very early stages and will not address the backlog of articles already published. Therefore, we propose to use text-mining methods to identify funding statements in full text articles available in Europe PubMed Central as an accurate and cost-effective solution to linking articles to funding sources. We will assess the outcomes through standard text-mining quality-assessment methods as well as through consultation with ERCEA staff. Anticipating useful outcomes, we will use the methods developed to identify ERC-funded articles in Europe PubMed Central on a routine basis, and make those results available in the search and article browse features on the Europe PubMed Central website. Finally, we will explore the feasibility of extending the approach to other Europe PubMed Central funders.",[European Molecular Biology Laboratory],DIRECT,RESEARCH & DEVELOPMENT
70,imls:log_number::NAE-250427-OLS-21,"[""Mukurtu""]","[""Washington State University""]",,"The Chilkat Indian Village of Klukwan Community and School Library will gather and digitize unique physical materials related to Chilkat Tlingit history, traditions, and culture to preserve these collections and increase access to heritage resources through online digital archives. The project will use the Mukurtu content management system to provide broad access and further staff development in establishing and maintaining digital archives and responding to the need to share and preserve tribal knowledge, as identified in a Chilkat Indian Village community strategic planning session. Tribal members, Klukwan and area residents, online patrons, researchers, project team members, and future generations will benefit from accessing this rich tribal cultural and historical information.",Chilkat Indian Village,ADOPT,ADOPT
71,corda__h2020::997684146854e9672c7271952f9ed1bd,"[""OAPEN Library""]","[""OAPEN Foundation""]",Support towards the OAPEN initiative (2015-2016),"ERC-OAPEN-2015 aims to set up a deposit service for OA books based on research funded by ERC. OAPEN will collect, host and provide access to the books and book chapters, in order to maximise dissemination and scientific and societal impact. The deposit service will consist of the following main components: identify and approach eligible  grantees; identify research output in the form of monographs; capture and host the publications and metadata; and report on the results (publications, compliance, usage). 
An important part of the project will be to determine the practical dimensions of the deposit service for ERC: the project will establish the policy framework for OA publications under FP7 and Horizon 2020 rules (Special Clause 39 ERC in the FP7 ERC model Grant Agreement; Article 29.2 in the Horizon 2020 ERC Model Grant Agreement); explore the potential routes to the deposit of books, through authors (grantees) and publishers; determine which versions of the publication can be accepted in the OAPEN Library (final accepted manuscript, published edition); and under what licenses and conditions (such as an embargo). These dimensions need to be determined in consultation with the ERCEA, and in cooperation with the grantees and publishers.
The OAPEN deposit service for ERC will consist of the following elements:
- raising awareness for OAPENâ€™s deposit service in support of ERCâ€™s OA requirements
- providing guidance and support to ERC beneficiaries and publishers to comply with ERC guidelines and requirements
- aggregation and deposit of OA monographs and monograph chapters in the OAPEN Library
- quality assurance of publications  
- hosting and full text retrieval of OA publications 
- dissemination and digital preservation of OA publications 
- reporting on the results of the deposit service in terms of: numbers and types of publications; compliance of publications in relation to ERC requirements; usage based on COUNTER compliant usage statistics.",[STICHTING OAPEN*OPEN ACCESS PUBLISHING IN EUROPEAN NETWORKS],DIRECT,RESEARCH & DEVELOPMENT
72,360g::360G-Wellcome-108758_Z_15_C,"[""Europe PMC""]","[""EMBL-EBI (European Molecular Biology Laboratory)""]",The continued support of the Europe PMC infrastructure.,Not available,European Bioinformatics Institute,DIRECT,OTHER
73,sloan:grants::G-2023-20875,"[""DataCite""]","[""DataCite e.V.""]",,"<p>To partially support the csv,conf v7 workshop on open data, open-source software, and open hardware</p>",DataCite,DIRECT,OTHER
74,neh::ZRE-283698-22,"[""Omeka""]","[""Corporation for Digital Scholarship""]",,"Resurrecting the First American West > This project will ""resurrect"" the former Library of Congress American Memory Project, First American West, the Ohio River Valley, 1750-1820 (FAW). The Filson holds metadata and images of the Filson’s collection items from FAW, which the Library of Congress returned to us in 2016. This project will retain current Collections Department staff, adding two new PT hires, who will work remotely to clean up the data and involve the Filson's membership base and community in transcription work and name/subject indexing using a service called From the Page. Filson staff will then upload the improved materials into Omeka, our open-source platform for digital content. This project will in turn incorporate staff from other departments such as the Development and Educational departments, by leading to further related programming, publications, and educational content.",Filson Historical Society,ADJACENT,ADJACENT
75,OT2DB000004,"[""Dataverse""]","[""Harvard University (IQSS)""]",,"THE HARVARD DATAVERSE REPOSITORY: A GENERALIST REPOSITORY INTEGRATED WITH A DATA COMMONS - ABSTRACT: THE VISION OF THE GENERALIST REPOSITORY ECOSYSTEM INITIATIVE (GREI) IS TO DEVELOP COLLABORATIVE APPROACHES FOR DATA MANAGEMENT AND SHARING THROUGH INCLUSION OF ESTABLISHED GENERALIST REPOSITORIES IN THE NIH DATA ECOSYSTEM AND BETTER ENABLE SEARCH AND DISCOVERY OF NIH FUNDED DATA IN THE GENERALIST REPOSITORIES. THIS IS ONE OF THE STEPS IN THE MODERNIZATION OF THE DATA RESOURCES ECOSYSTEM AND ALIGNS WITH THE NIH STRATEGIC PLAN FOR DATA SCIENCE. THE PRIMARY MISSION OF THE GENERALIST REPOSITORY ECOSYSTEM INITIATIVE IS TO ESTABLISH A COMMON SET OF COHESIVE AND CONSISTENT CAPABILITIES, SERVICES, METRICS, AND SOCIAL INFRASTRUCTURE ACROSS VARIOUS GENERALIST REPOSITORIES. A SECONDARY MISSION IS TO ALSO RAISE GENERAL AWARENESS AND FACILITATE RESEARCHERS TO ADOPT FAIR PRINCIPLES TO BETTER SHARE AND REUSE DATA. THE OBJECTIVES OF THE PROJECT ARE TO WORK TOGETHER WITH THE OTHER AWARDEE TEAMS TO DEVELOP A “CO-OPETITION PLAN” THAT INCLUDE A COMMITMENT TO A SOLUTION ARCHITECTURE, DATA SUBMISSION AND QA/QC CAPABILITIES TO SUPPORT RELEVANT USE CASES, TRAIN AND EDUCATE USERS, AS WELL AS PROVIDE USAGE ANALYTICS AND REPORTING TO THE NIH.",[PRESIDENT AND FELLOWS OF HARVARD COLLEGE],DIRECT,OTHER
76,corda_____he::3e06d00898f59e39ab066fd819398787,"[""DataCite""]","[""DataCite e.V.""]",Expanding FAIR Solutions across EOSC,"FAIR-IMPACT focuses on expanding FAIR solutions across the EOSC. It builds on the results of FAIRsFAIR and other relevant projects and initiatives. The project aims to realise a FAIR EOSC, that is an EOSC of FAIR data and services. FAIR-IMPACT will identify proven domain solutions and facilitate the interoperable uptake of these solutions across scientific domains and for different types of research output. This includes the overall FAIRification of various research objects from assigning and managing identifiers, describing them with shared and common semantics to making them interoperable and reusable, as well as the challenge of projecting the FAIR principles to other types of research objects such as software.
FAIR-IMPACT meets these challenges through three work packages which identify and adapt candidate approaches, tools and solutions suitable for wider adoption, and two work packages focussing on interoperability, adoption and support. Scientific communities are included in the consortium as integrated use case partners. This will ensure that viable and tested solutions from one domain can be piloted in others and help to achieve wider uptake, adoption, implementation of, and compliance with the FAIR principles. As the project unfolds, additional support mechanisms (cascading grants, in-kind support) will be introduced.
The FAIR-IMPACT ambition is to build a web of FAIR data and related services together with the scientific community and relevant stakeholder groups, and to take steps towards realising the ambition of a web of Open Science. FAIR-IMPACT will contribute to transforming the way researchers share and exploit research outputs within and across research disciplines? and to the facilitation of scientific multi-disciplinary cooperation. With its focus on increasing FAIRness, FAIR-IMPACT will contribute to improving public trust and reproducibility in science.",[DATACITE â€“ INTERNATIONAL DATA CITATION INITIATIVE],DIRECT,RESEARCH & DEVELOPMENT
77,imls:log_number::LG-250163-OLS-21,"[""Hyku""]","[""PALNI/PALCI (development partner, not a formal host)""]",,"The Private Academic Library Network of Indiana, in partnership with the Pennsylvania Academic Library Consortium, Inc., will increase the flexibility, accessibility, and usability of Hyku, the multi-tenant repository platform system. This project will extend previous work and improve the national digital repository infrastructure by enhancing an open-source platform suitable for access to diverse types of materials, addressing needs articulated by stakeholders and consortia, and reducing barriers to adoption. In addition to technology development, we will develop an operational toolkit geared toward the administration of consortially owned and managed repository services that is agnostic to any specific technology. The toolkit will provide guidelines, information, and other materials to support the development of similar services in other consortia.",The Private Academic Library Network of Indiana,ADOPT,ADOPT
78,anr_________::fff77895a28c415e40549cba1239be8f,"[""CORE"",""Europe PMC""]","[""The Open University (UK)"", ""EMBL-EBI (European Molecular Biology Laboratory)""]",Making Software FAIR: A machine-assisted workflow for the research software lifecycle,"A key issue hindering discoverability, attribution and reusability of open research software is that its existence often remains hidden within the manuscript of research papers. For these resources to become first-class bibliographic records, they first need to be identified and subsequently registered with persistent identifiers (PIDs) to be made FAIR (Findable, Accessible, Interoperable and Reusable). To this day, much open research software fails to meet FAIR principles and software resources are mostly not explicitly linked from the manuscripts that introduced them or used them. This project will extend the capabilities of critical and widely used open scholarly infrastructures (CORE, Software Heritage, HAL) and tools (GROBID) operated by the consortium partners, delivering and deploying an effective solution for the management of the research software assets lifecycle, including: 1) ML-assisted identification of software assets from within the manuscripts of scholarly papers, 2) validation of the identified assets by authors, 3) registration of software assets with PIDs and their archival. The solution will be optimised for deployment over open content available through the global network of open repositories aggregated by CORE (core.ac.uk), which constitutes with over 32 million full texts and 250m+ metadata records from over 10k repositories currently the world's largest collection of open access documents. Our ML software for extraction and disambiguation of software assets will be realised as an extension of the state-of-the-art GROBID tool. We will build on established protocols, such as OpenAIRE Guidelines v4.0, RIOXX v3 and Codemeta, to encode information about software assets and their links to research manuscripts establishing an interoperable and extensible workflow connecting open repositories (represented by HAL), aggregators (represented by CORE) and software archives (represented by Software Heritage). The efficacy of the developed tools and workflow will be validated in three use cases: 1) social science with links to DARIAH, 2) life sciences demonstrator (Europe PubMed) and 3) a multi-disciplinary demonstrator (HAL).",[Institut National de recherche en sciences et technologies du numÃ©rique],ADJACENT,ADJACENT
